State Name,pH,Conductivity,BOD (mg/L),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L)
HR,8.3,651.4333333,1.4,0.3,#DIV/0!,20,530,2
HR,7.4,1062.466667,#DIV/0!,#DIV/0!,160,2100,748,#DIV/0!
HR,7.3,600.4333333,1,#DIV/0!,2,2,495,0.2
HR,7.8,373.9333333,2.75,1,490,3500,349,0.3
HR,8.2,646.0666667,1,#DIV/0!,#DIV/0!,#DIV/0!,580,#DIV/0!
HR,8.1,966.0333333,1,#DIV/0!,#DIV/0!,#DIV/0!,868,#DIV/0!
HR,8.5,773.5,1.5,0.3,#DIV/0!,30,328,0.7
HR,8.3,1194.766667,1,0.3,#DIV/0!,20,978,#DIV/0!
HR,7.2,3009.066667,1,0.3,#DIV/0!,#DIV/0!,2480,0.7
HR,7.7,3829.233333,1,0.3,#DIV/0!,#DIV/0!,3160,1.2
HR,7.5,2445.833333,1,0.3,#DIV/0!,#DIV/0!,2020,0.75
HR,8.3,776.1,1,0.3,#DIV/0!,10,630,0.7
HR,8.1,1106.033333,1.2,0.3,#DIV/0!,20,904,0.7
HR,8.3,863.4333333,1.4,0.3,#DIV/0!,20,710,0.7
HR,7.7,1712.566667,1,#DIV/0!,2,2,1410,0.4
HR,7.8,633.9333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,548.5,#DIV/0!
HR,8,799.3333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,724,#DIV/0!
HP,7.5,265.8333333,1,0.415,2,33,257,0.2
HP,8.1,377.0333333,1,#DIV/0!,2,2,298,0.2
HP,8.1,396.7,1,#DIV/0!,2,2,324,#DIV/0!
HP,8.1,378.7,1,#DIV/0!,2,2,312.5,0.2
HP,7.3,358.4333333,1,0.3,#DIV/0!,#DIV/0!,354.5,0.2
HP,7.4,221.4666667,1,0.445,#DIV/0!,#DIV/0!,225,0.2
HP,7.7,444.9,1,1.285,2,2,405,0.45
HP,7.3,432.1,1,0.375,2,33,437.5,0.2
HP,8.2,656.7333333,1,#DIV/0!,2,2,512,#DIV/0!
HP,7.9,442.6333333,1,#DIV/0!,2,2,342,#DIV/0!
HP,7.9,284.3,1,0.455,2,2,257,0.2
HP,7.9,337.3,1,#DIV/0!,2,2,304.5,0.2
HP,7.8,4382.266667,47.9,3.8,1600,1600,393,0.6
HP,8.4,379.8,1,#DIV/0!,2,2,235,0.2
HP,7.6,397.5333333,1,0.385,2,25,398,0.2
HP,7.5,311.1666667,1,0.32,2,31,326,0.2
HP,7.6,458.8666667,1,2.505,2,2,464,0.2
HP,7.4,386.1333333,1,0.3,#DIV/0!,#DIV/0!,365.5,0.2
HP,8,126.3333333,1,0.385,#DIV/0!,#DIV/0!,121.5,0.2
HP,7.4,243.8,1,0.34,2,31,226,0.2
HP,7.8,345.6,1,0.3,#DIV/0!,#DIV/0!,339,0.2
HP,7.2,393.4,1,0.3,2,2,385.5,0.2
HP,6.9,388.9666667,1,2.2,2,2,354,0.8
HP,7.7,205.9,1,0.3,2,2,216,0.5
HP,8,285.3333333,1,0.5,2,2,282.5,0.2
HP,7.7,324.9,1,0.3,2,17,316,0.2
HP,7.3,464.4333333,1,1.2,2,2,427,0.7
HP,7.8,1596.6,1,1,#DIV/0!,#DIV/0!,120,0.3
HP,7.9,211.3,1,0.645,#DIV/0!,#DIV/0!,205,0.2
HP,7.3,230.4333333,1,0.52,2,2,232,0.2
HP,7.7,342.9,1,0.3,2,26,342,0.2
HP,7.1,248.3666667,1,0.32,#DIV/0!,#DIV/0!,244.5,0.2
HP,7.6,163.8666667,1,1.3,35.5,150,161,0.2
HP,7.4,247.4666667,1,0.405,2,24.5,246.5,0.2
HP,7,127.6666667,1,0.3,2,26,123.5,0.2
HP,6.9,126.3,1,0.3,2,26,125,0.2
HP,8.1,769.3666667,1,#DIV/0!,2,2,544,#DIV/0!
HP,8,389,1,1.275,2,2,353.5,0.5
HP,7.9,414.3,1,0.98,2,2,372,0.55
HP,9.1,469.0333333,1,#DIV/0!,2,2,401,0.2
HP,7.9,298.3,1,0.3,2,32,300,0.2
JK,8,229.3333333,1.2,#DIV/0!,#DIV/0!,#DIV/0!,200,#DIV/0!
JK,7.4,242.4666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,210,#DIV/0!
JK,7.7,234.5666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,204,#DIV/0!
